feature,importance,fold
STD(bureau.DAYS_CREDIT_ENDDATE),79,1
STD(bureau.DAYS_ENDDATE_FACT),133,1
STD(bureau.AMT_CREDIT_MAX_OVERDUE),79,1
STD(bureau.CNT_CREDIT_PROLONG),8,1
STD(bureau.AMT_CREDIT_SUM),122,1
STD(bureau.AMT_CREDIT_SUM_DEBT),141,1
STD(bureau.AMT_CREDIT_SUM_LIMIT),53,1
STD(bureau.AMT_CREDIT_SUM_OVERDUE),18,1
STD(bureau.DAYS_CREDIT_UPDATE),79,1
STD(bureau.AMT_ANNUITY),47,1
STD(bureau.NEW_AMT_CREDIT_SUM_DEBT_DIVIDE_AMT_CREDIT_SUM),33,1
STD(bureau.NEW_AMT_CREDIT_SUM_LIMIT_DIVIDE_AMT_CREDIT_SUM),0,1
STD(bureau.MONTHS_BALANCE_SIZE),39,1
STD(bureau.CREDIT_ACTIVE_Active),33,1
STD(bureau.CREDIT_ACTIVE_Bad debt),0,1
STD(bureau.CREDIT_ACTIVE_Closed),29,1
STD(bureau.CREDIT_ACTIVE_Sold),9,1
STD(bureau.CREDIT_CURRENCY_currency 1),0,1
STD(bureau.CREDIT_CURRENCY_currency 2),0,1
STD(bureau.CREDIT_CURRENCY_currency 3),0,1
STD(bureau.CREDIT_CURRENCY_currency 4),0,1
STD(bureau.CREDIT_TYPE_Another type of loan),0,1
STD(bureau.CREDIT_TYPE_Car loan),43,1
STD(bureau.CREDIT_TYPE_Cash loan (non-earmarked)),0,1
STD(bureau.CREDIT_TYPE_Consumer credit),46,1
STD(bureau.CREDIT_TYPE_Credit card),70,1
STD(bureau.CREDIT_TYPE_Interbank credit),0,1
STD(bureau.CREDIT_TYPE_Loan for business development),0,1
STD(bureau.CREDIT_TYPE_Loan for purchase of shares (margin lending)),0,1
STD(bureau.CREDIT_TYPE_Loan for the purchase of equipment),0,1
STD(bureau.CREDIT_TYPE_Loan for working capital replenishment),0,1
STD(bureau.CREDIT_TYPE_Microloan),23,1
STD(bureau.CREDIT_TYPE_Mobile operator loan),0,1
STD(bureau.CREDIT_TYPE_Mortgage),37,1
STD(bureau.CREDIT_TYPE_Real estate loan),0,1
STD(bureau.CREDIT_TYPE_Unknown type of loan),0,1
MAX(bureau.DAYS_CREDIT),366,1
MAX(bureau.CREDIT_DAY_OVERDUE),2,1
